id,session_id,user_name,item_id,statement,value,label,submitted_at
005e3467-1689-45c7-934c-474b2a52d980,ec0000ce-1a44-4800-b17e-5ef976d6ccfd,A1,increase_confidence,The AI answer increased my confidence in the answer I finally selected.,1,Agree,2026-05-19 07:58:54.278+00
01c85329-3d7f-49cf-bfae-45a4b6cc2c14,f6b8a75c-0814-4c62-b3e8-41e4a889a84f,A1,doubt_reasoning,The AI answer made me doubt my own reasoning.,0,Neutral,2026-05-19 07:55:34.662+00
02ff1dbf-deb2-472d-a632-530ddb72f5a6,c7e0ff65-a081-4b56-ae78-45133b507d45,A1,move_toward_ai,"When the AI answer differed from mine, I tended to move toward the AI answer.",-2,Strongly disagree,2026-05-19 07:56:08.77+00
037865d5-893c-464d-817b-c3f0a5505c8d,83e6e1c6-d33d-4871-8fad-59068e4a99a7,A3,change_initial_answer,"After seeing the AI answer, I was more likely to change my initial answer.",0,Neutral,2026-05-19 09:13:07.444+00
04133d03-9ca6-4f39-8b7f-d1872a1120a0,bfdc1562-aa05-4c8f-851f-fb4cb9474053,A1,answer_differently_without_ai,"Without the AI answer, I think I would have answered differently.",-2,Strongly disagree,2026-05-19 07:55:44.66+00
04908c4c-5000-4a61-8c73-f15fc3a34f65,f673824e-63c8-4c96-9b74-7fa4aee29c4e,A1,increase_confidence,The AI answer increased my confidence in the answer I finally selected.,0,Neutral,2026-05-19 08:03:37.618+00
05f1060e-84da-4687-b006-447e46163018,f6b8a75c-0814-4c62-b3e8-41e4a889a84f,A1,move_toward_ai,"When the AI answer differed from mine, I tended to move toward the AI answer.",0,Neutral,2026-05-19 07:55:34.662+00
06dc9835-6885-4ff7-9d9d-755c2fc5e46f,fde94a01-94d7-4d33-8ff0-9563f3bf6633,A1,move_toward_ai,"When the AI answer differed from mine, I tended to move toward the AI answer.",-1,Disagree,2026-05-19 07:52:17.129+00
06fbe68f-e0b0-4c06-92be-a2f45c15ed32,37550e3b-ebd5-432f-818e-e1e3ed6b5ebd,A5,doubt_reasoning,The AI answer made me doubt my own reasoning.,0,Neutral,2026-05-19 07:21:31.6+00
079ac098-6617-4bd0-baf6-08185a0422bb,c0e4dea2-7804-41d8-8101-57018fa4cf16,A4,increase_confidence,The AI answer increased my confidence in the answer I finally selected.,1,Agree,2026-05-19 08:32:54.017+00
08c4e343-2ab7-42e4-958f-6351673760e7,69f0b04f-1a8b-4c7d-8728-de25ae34bea4,A1,answer_differently_without_ai,"Without the AI answer, I think I would have answered differently.",2,Strongly agree,2026-05-19 07:59:17.584+00
09754793-4155-4ef3-a891-c82e3e4b51d8,e1e95acb-b561-4266-8bc8-4302ec5f923f,A4,answer_differently_without_ai,"Without the AI answer, I think I would have answered differently.",0,Neutral,2026-05-19 08:42:51.485+00
0b64f4b0-b1e5-454c-96e6-88ba19b27c8e,df4a60f3-7f34-42db-ba7a-04cc77d31e4a,A1,answer_differently_without_ai,"Without the AI answer, I think I would have answered differently.",-1,Disagree,2026-05-19 08:03:46.171+00
0b9623a5-2b4c-47b5-8a6f-b06387f5fae6,14d8d4cd-8b91-4f46-89ff-076083de5a6c,A3,change_initial_answer,"After seeing the AI answer, I was more likely to change my initial answer.",0,Neutral,2026-05-19 09:14:15.095+00
